cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3510153,Canitar,Ourinhos,Assis,6283,218328.0000,0.6800,3.4400,22.5000,1182.0000,69.9000,0.3325,624
3549003,São Francisco,Jales,São José do Rio Preto,2602,59556.0000,0.7230,3.4500,25.2000,877.0000,59.6000,0.3318,625
3535408,Panorama,Dracena,Presidente Prudente,14964,397153.0000,0.7220,5.1800,24.9000,1078.0000,61.1000,0.3317,626
3536257,Parisi,Votuporanga,São José do Rio Preto,2892,67931.0000,0.7210,5.3000,25.2000,877.0000,59.6000,0.3299,627
3549201,São João das Duas Pontes,Fernandópolis,São José do Rio Preto,2580,72713.0000,0.7200,6.8100,25.2000,877.0000,59.6000,0.3298,628
3502606,Aparecida d'Oeste,Jales,São José do Rio Preto,4086,225794.0000,0.7210,4.6500,25.2000,877.0000,59.6000,0.3289,629
3543238,Ribeirão dos Índios,Presidente Prudente,Presidente Prudente,2025,56509.0000,0.7210,3.5900,24.9000,1078.0000,61.1000,0.3271,630
3505401,Barra do Turvo,Registro,Litoral Sul Paulista,6876,145159.0000,0.6410,75.6400,17.8000,2035.0000,88.2000,0.3256,631
3540853,Pracinha,Adamantina,Presidente Prudente,2578,44001.0000,0.6960,2.2900,23.9000,1163.0000,64.2000,0.3154,632
3543006,Ribeirão Branco,Capão Bonito,Itapetininga,18627,640749.0000,0.6390,40.3800,19.4000,1135.0000,77.2000,0.3150,633
3540408,Populina,Jales,São José do Rio Preto,4127,156037.0000,0.7140,5.6100,25.2000,877.0000,59.6000,0.3141,634
3532843,Nova Canaã Paulista,Jales,São José do Rio Preto,2032,57172.0000,0.7150,2.9100,25.2000,877.0000,59.6000,0.3124,635
3536406,Paulicéia,Dracena,Presidente Prudente,7955,322394.0000,0.7110,8.7400,24.9000,1078.0000,61.1000,0.3114,636
3521606,Irapuru,Adamantina,Presidente Prudente,7085,142422.0000,0.7120,3.6000,24.9000,1078.0000,61.1000,0.3062,637
3544202,Riolândia,Votuporanga,São José do Rio Preto,10309,390635.0000,0.7030,8.9800,25.2000,877.0000,59.6000,0.2935,638
3504701,Balbinos,Bauru,Bauru,3887,82895.0000,0.6690,5.5200,23.5000,924.0000,65.8000,0.2934,639
3540259,Pontalinda,Jales,São José do Rio Preto,4127,131997.0000,0.7020,8.8700,25.2000,877.0000,59.6000,0.2910,640
3552551,Suzanápolis,Andradina,Araçatuba,3408,511504.0000,0.6990,5.6400,25.2000,877.0000,59.6000,0.2793,641
3528700,Marabá Paulista,Presidente Prudente,Presidente Prudente,4573,201668.0000,0.6770,4.9800,23.9000,1163.0000,64.2000,0.2753,642
3518909,Guzolândia,Auriflama,São José do Rio Preto,4246,120156.0000,0.6970,5.1800,25.2000,877.0000,59.6000,0.2740,643
3509106,Caiuá,Presidente Prudente,Presidente Prudente,5466,111895.0000,0.6970,4.7600,24.9000,1078.0000,61.1000,0.2731,644
3534807,Ouro Verde,Dracena,Presidente Prudente,7779,186891.0000,0.6920,5.0000,24.9000,1078.0000,61.1000,0.2619,645
