cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3546207,Santa Cruz da Conceição,Limeira,Piracicaba,4277,200490.0,0.79,16.58,,,
3546256,Santa Cruz da Esperança,Batatais,Ribeirão Preto,2116,101459.0,0.743,25.0,,,
3546306,Santa Cruz das Palmeiras,Pirassununga,Campinas,28864,788978.0,0.728,16.49,,,
3546405,Santa Cruz do Rio Pardo,Ourinhos,Assis,46442,4319822.0,0.762,8.52,,,
3546504,Santa Ernestina,Jaboticabal,Ribeirão Preto,6118,152155.0,0.738,5.01,,,
3546603,Santa Fé do Sul,Jales,São José do Rio Preto,34794,1988880.0,0.784,5.54,,,
3546702,Santa Gertrudes,Limeira,Piracicaba,23611,3568257.0,0.737,5.46,,,
3546801,Santa Isabel,Guarulhos,Metropolitana de São Paulo,53174,2298061.0,0.738,40.26,,,
3546900,Santa Lúcia,Araraquara,Araraquara,7149,185362.0,0.737,8.56,,,
3547007,Santa Maria da Serra,Piracicaba,Piracicaba,5243,197769.0,0.686,15.46,,,
3547106,Santa Mercedes,Dracena,Presidente Prudente,2956,97262.0,0.739,2.31,,,
3547205,Santana da Ponte Pensa,Jales,São José do Rio Preto,1670,56776.0,0.773,3.53,,,
3547304,Santana de Parnaíba,Osasco,Metropolitana de São Paulo,154105,14328397.0,0.814,40.81,,,
3547403,Santa Rita d'Oeste,Jales,São José do Rio Preto,2733,105525.0,0.761,4.58,,,
3547502,Santa Rita do Passa Quatro,Ribeirão Preto,Ribeirão Preto,24833,992180.0,0.775,21.6,,,
3547601,Santa Rosa de Viterbo,Ribeirão Preto,Ribeirão Preto,23411,1131989.0,0.77,17.58,,,
3547650,Santa Salete,Jales,São José do Rio Preto,1645,66140.0,0.772,5.9,,,
3547700,Santo Anastácio,Presidente Prudente,Presidente Prudente,17963,630473.0,0.753,4.39,,,
3547809,Santo André,São Paulo,Metropolitana de São Paulo,748919,36931351.0,0.815,51.57,,,
3547908,Santo Antônio da Alegria,Batatais,Ribeirão Preto,6775,282937.0,0.702,27.83,,,
3548005,Santo Antônio de Posse,Mogi Mirim,Campinas,23244,2146890.0,0.702,6.27,,,
3548054,Santo Antônio do Aracanguá,Araçatuba,Araçatuba,8379,380219.0,0.757,6.24,,,
3548104,Santo Antônio do Jardim,São João da Boa Vista,Campinas,6126,253743.0,0.714,14.07,,,
3548203,Santo Antônio do Pinhal,Campos do Jordão,Vale do Paraíba Paulista,7133,191747.0,0.706,52.84,,,
3548302,Santo Expedito,Presidente Prudente,Presidente Prudente,3000,60256.0,0.732,2.38,,,
