cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3530607,Mogi das Cruzes,Mogi das Cruzes,Metropolitana de São Paulo,451505,26072522.0,0.783,43.76,,,
3530706,Mogi Guaçu,Mogi Mirim,Campinas,153658,9433838.0,0.774,15.36,,,
3530805,Mogi Mirim,Mogi Mirim,Campinas,92558,8092719.0,0.784,6.14,,,
3530904,Mombuca,Piracicaba,Piracicaba,3722,179189.0,0.719,11.64,,,
3531001,Monções,Nhandeara,São José do Rio Preto,1937,77881.0,0.772,6.39,,,
3531100,Mongaguá,Itanhaém,Litoral Sul Paulista,61951,1535906.0,0.754,81.51,,,
3531209,Monte Alegre do Sul,Amparo,Campinas,8627,304555.0,0.759,28.39,,,
3531308,Monte Alto,Jaboticabal,Ribeirão Preto,47574,3062782.0,0.768,8.69,,,
3531407,Monte Aprazível,Nhandeara,São José do Rio Preto,22280,1038560.0,0.785,7.56,,,
3531506,Monte Azul Paulista,Jaboticabal,Ribeirão Preto,18151,958014.0,0.753,7.19,,,
3531605,Monte Castelo,Dracena,Presidente Prudente,4222,161947.0,0.741,9.44,,,
3531704,Monteiro Lobato,Campos do Jordão,Vale do Paraíba Paulista,4138,113891.0,0.71,54.6,,,
3531803,Monte Mor,Campinas,Campinas,64662,6049398.0,0.733,5.09,,,
3531902,Morro Agudo,São Joaquim da Barra,Ribeirão Preto,27933,1980195.0,0.712,5.25,,,
3532009,Morungaba,Bragança Paulista,Macro Metropolitana Paulista,13720,765641.0,0.715,20.41,,,
3532058,Motuca,Araraquara,Araraquara,4034,171027.0,0.741,8.08,,,
3532108,Murutinga do Sul,Andradina,Araçatuba,3737,113474.0,0.726,6.44,,,
3532157,Nantes,Assis,Assis,2660,189556.0,0.714,5.9,,,
3532207,Narandiba,Presidente Prudente,Presidente Prudente,5713,896057.0,0.718,12.34,,,
3532306,Natividade da Serra,Paraibuna/Paraitinga,Vale do Paraíba Paulista,6999,159425.0,0.655,44.65,,,
3532405,Nazaré Paulista,Bragança Paulista,Macro Metropolitana Paulista,18217,595410.0,0.678,48.54,,,
3532504,Neves Paulista,Nhandeara,São José do Rio Preto,9699,384592.0,0.754,6.88,,,
3532603,Nhandeara,Nhandeara,São José do Rio Preto,9852,507862.0,0.751,9.64,,,
3532702,Nipoã,Nhandeara,São José do Rio Preto,4750,146719.0,0.713,7.38,,,
3532801,Nova Aliança,São José do Rio Preto,São José do Rio Preto,6693,361490.0,0.738,11.71,,,
3532827,Nova Campina,Itapeva,Itapetininga,8497,260753.0,0.651,37.87,,,
3532843,Nova Canaã Paulista,Jales,São José do Rio Preto,2032,57172.0,0.715,2.91,,,
3532868,Nova Castilho,Auriflama,São José do Rio Preto,1062,91228.0,0.756,8.77,,,
3532900,Nova Europa,Araraquara,Araraquara,9311,556400.0,0.765,6.94,,,
3533007,Nova Granada,São José do Rio Preto,São José do Rio Preto,19419,732341.0,0.739,9.67,,,
3533106,Nova Guataporanga,Dracena,Presidente Prudente,2156,47451.0,0.726,1.5,,,
3533205,Nova Independência,Andradina,Araçatuba,4609,285939.0,0.735,7.69,,,
3533254,Novais,Catanduva,São José do Rio Preto,4412,105507.0,0.719,7.69,,,
3533304,Nova Luzitânia,Auriflama,São José do Rio Preto,2837,70080.0,0.743,10.56,,,
3533403,Nova Odessa,Campinas,Campinas,62019,5613297.0,0.791,5.73,,,
3533502,Novo Horizonte,Novo Horizonte,São José do Rio Preto,38324,2313783.0,0.753,12.47,,,
3533601,Nuporanga,São Joaquim da Barra,Ribeirão Preto,7391,1235537.0,0.746,8.35,,,
3533700,Ocauçu,Marília,Marília,4331,163910.0,0.717,17.32,,,
3533809,Óleo,Ourinhos,Assis,2512,143212.0,0.73,9.47,,,
3533908,Olímpia,São José do Rio Preto,São José do Rio Preto,55074,3569676.0,0.773,10.55,,,
3534005,Onda Verde,São José do Rio Preto,São José do Rio Preto,4771,370589.0,0.738,9.57,,,
3534104,Oriente,Marília,Marília,6085,194079.0,0.77,18.52,,,
3534203,Orindiúva,São José do Rio Preto,São José do Rio Preto,6024,830370.0,0.767,8.52,,,
3534302,Orlândia,São Joaquim da Barra,Ribeirão Preto,38319,3247648.0,0.78,7.73,,,
3534401,Osasco,Osasco,Metropolitana de São Paulo,728615,119404053.0,0.776,5.37,,,
3534500,Oscar Bressane,Marília,Marília,2470,123399.0,0.749,10.52,,,
3534609,Osvaldo Cruz,Adamantina,Presidente Prudente,31272,1615248.0,0.762,7.73,,,
3534708,Ourinhos,Ourinhos,Assis,103970,4902762.0,0.778,4.8,,,
3534757,Ouroeste,Fernandópolis,São José do Rio Preto,10294,670735.0,0.77,9.83,,,
3534807,Ouro Verde,Dracena,Presidente Prudente,7779,186891.0,0.692,5.0,,,
3534906,Pacaembu,Adamantina,Presidente Prudente,14877,285244.0,0.725,3.27,,,
3535002,Palestina,São José do Rio Preto,São José do Rio Preto,11476,603348.0,0.732,7.94,,,
3535101,Palmares Paulista,Catanduva,São José do Rio Preto,9650,209646.0,0.722,7.92,,,
3535200,Palmeira d'Oeste,Jales,São José do Rio Preto,8903,308864.0,0.753,4.39,,,
3535309,Palmital,Assis,Assis,19594,1405807.0,0.746,4.41,,,
3535408,Panorama,Dracena,Presidente Prudente,14964,397153.0,0.722,5.18,,,
3535507,Paraguaçu Paulista,Assis,Assis,41120,3133902.0,0.762,7.98,,,
3535606,Paraibuna,Paraibuna/Paraitinga,Vale do Paraíba Paulista,17667,408569.0,0.719,33.85,,,
3535705,Paraíso,Catanduva,São José do Rio Preto,6099,436076.0,0.749,7.96,,,
3535804,Paranapanema,Avaré,Bauru,19395,1222547.0,0.717,14.07,,,
